pnt_id,x,y,fall09,fall11,spring10,spring11,cti,dem,precip,slope,mlra,lru
0,675805.4849,3695421.212,29.174959,30.18794,22.700037,29.123844,5.038641,6252.013671,21.702102,7.010447,38,38-2AZ
1,665320.9883,3667862.852,28.638492,25.901027,22.192205,22.010534,4.721764,5696.578125,19.803464,41.896583,38,38-2AZ
2,674707.8577,3682506.18,32.797924,30.428047,28.013261,26.909338,3.369939,5868.98291,19.82555,37.61938,38,38-2AZ
3,641171.8817,3668396.314,27.3747,27.227436,24.992864,23.87103,5.662115,4421.532714,15.985613,6.723662,38,38-2AZ
4,677675.5148,3672162.477,30.241943,32.634212,29.802797,27.310009,6.062619,4937.436523,18.688894,39.294898,38,38-2AZ
5,622789.1456,3686197.421,40.518211,31.838766,34.552219,33.764312,7.985987,6151.996582,20.291149,0.957709,38,38-2AZ
6,623420.6004,3675774.727,35.169727,36.901405,38.684585,39.95716,5.708324,6359.771972,19.780199,39.09011,38,38-2AZ
7,602272.1167,3708007.915,41.799644,36.669315,35.60128,36.715423,9.168079,6172.109375,19.843561,0.806278,38,38-2AZ
8,681899.0056,3652144.495,18.664825,16.946851,15.83363,16.828586,5.011277,5427.300292,17.914434,25.4761,38,38-2AZ
9,620097.1141,3701239.976,39.310764,30,29.885948,26.591638,7.994732,6051.660644,19.973257,4.637241,38,38-2AZ
10,656428.6055,3694983.539,42.591758,43.291423,39.059219,43.135486,5.175943,6474.015625,21.319452,40.488666,38,38-2AZ
11,644041.7008,3685015.207,23.893962,26.640989,20.455968,22.84197,6.077286,4974.896484,17.871072,3.198828,38,38-2AZ
12,628303.7594,3689198.664,33.328178,31.869688,27.970693,32.997238,7.368862,6250.964843,20.160818,8.24043,38,38-2AZ
13,625431.2458,3696978.634,36.591541,33.05688,28.877414,27.833097,7.709555,5964.220214,20.066755,5.051236,38,38-2AZ
14,671083.5065,3700493.679,27.979684,29.672458,23.992492,24.994941,6.138337,5627.208496,20.085113,25.751752,38,38-2AZ
15,666320.491,3686681.952,18.367361,10.809681,12.778839,10.882559,7.067451,4600.933105,16.887619,5.951339,38,38-2AZ
16,614532.0479,3710531.313,39.111335,38.963943,34.077129,32.929206,6.969935,6441.067382,21.00127,4.742341,38,38-2AZ
17,661333.1684,3683337.066,31.099945,31.004501,24.104059,27.798439,7.729951,5012.244628,18.190605,6.145722,38,38-2AZ
18,678942.0116,3675522.275,31.950233,28.776542,22.989587,20.997211,4.924212,6214.036132,19.544151,35.753047,38,38-2AZ
19,655770.3606,3692270.515,35.178569,37.419384,28.972837,34.170543,5.625538,6566.209472,20.877668,25.00579,38,38-2AZ
20,674470.0432,3704593.262,13.040745,3.039292,9.519474,11.056834,4.009804,5714.417968,22.348081,49.963523,38,38-2AZ
21,668323.1588,3692986.58,24.102872,23.816469,22.106519,20.011735,4.32174,5745.437011,18.610893,76.082427,38,38-2AZ
22,636731.1696,3696100.659,45.817531,44.448188,41.605014,36.702491,5.24901,6401.239746,21.23257,26.740955,38,38-2AZ
23,674549.33,3679670.12,26.103588,26.595945,21.88569,23.527433,4.631964,5355.734375,18.36256,66.151863,38,38-2AZ
24,630856.3773,3685897.026,31.927528,32.891906,24.497835,21.847002,6.647388,6435.746582,20.104002,9.064153,38,38-2AZ
25,656027.1737,3699685.833,34.133571,25.619943,37.002052,39.260517,4.27477,6323.717285,21.521663,55.699958,38,38-2AZ
26,556844.1245,3723551.7,35.913059,35.890335,34.860015,32.182922,7.006193,6020.337402,21.964302,8.977847,38,38-2AZ
27,648283.591,3674699.768,17.97764,3.663577,29.636428,31.864561,4.317125,6368.040039,19.935924,85.036361,38,38-2AZ
28,663598.0708,3689644.274,15.464826,20.241403,20.591236,24.558113,3.631544,6317.905761,19.378227,27.15707,38,38-2AZ
29,617518.3155,3687760.368,43.448833,38.273303,44.711635,42.281295,7.02181,6169.786621,20.324735,7.306423,38,38-2AZ
30,646243.1291,3697744.065,39.01189,37.684692,30.36734,30.001825,5.965558,6130.502929,20.606439,11.776087,38,38-2AZ
31,602203.759,3719804.718,29.066547,32.738002,27.051164,28.927856,9.02069,5890.547851,19.487386,0.516947,38,38-2AZ
32,652044.1172,3688306.786,31.210618,33.233135,25.038042,32.758605,5.363215,6115.956542,20.074855,33.803318,38,38-2AZ
33,620192.498,3692409.012,41.127372,40.706779,33.739128,32.513221,8.473584,5891.613769,19.687755,1.076128,38,38-2AZ
34,621658.422,3699071.49,35.603103,31.530542,29.557703,27.928112,6.826474,6074.58789,19.885206,10.196282,38,38-2AZ
35,631782.7256,3700265.139,33.8596,34.393714,30.214338,31.272466,7.376408,6584.810546,22.206443,12.719115,38,38-2AZ
36,618844.2317,3679998.292,40.192993,33.183582,34.37273,30.801607,4.757367,6653.628906,20.777889,74.986953,38,38-2AZ
37,559470.9349,3720351.394,31.932733,36.262561,26.649211,30.801574,7.43451,6193.78955,21.583953,8.685787,38,38-2AZ
38,597920.4813,3693875.845,33.282958,21.826452,25.739463,24.418968,7.656711,5395.021972,19.37581,4.631057,38,38-2AZ
39,680852.4348,3701849.794,27.630149,30.108871,25.506435,25.258005,7.52847,6074.839355,22.162527,5.209964,38,38-2AZ
40,594009.584,3710962.052,42.21149,37.906848,36.561359,38.068859,7.493707,5841.697753,19.631284,10.464664,38,38-2AZ
41,598472.7187,3723804.283,32.088672,31.150749,29.253238,27.164392,12.27856,5895.422851,20.378368,1.976212,38,38-2AZ
42,681023.6395,3692003.576,25.697444,29.720853,33.278896,34.211837,4.931622,6935.24121,23.407615,31.807762,38,38-2AZ
43,655424.5476,3686090.392,30.009527,35.841186,24.183258,29.257442,6.277052,5952.360351,19.946123,17.718849,38,38-2AZ
44,665787.2609,3694010.221,17.427951,1.132311,28.561302,37.272827,2.906484,5606.517089,19.67984,73.428726,38,38-2AZ
45,620557.411,3706818.982,34.413082,37.316955,32.291187,36.53556,4.236915,6030.237304,20.320514,36.387351,38,38-2AZ
46,629208.8174,3676853.854,26.454847,26.970588,28.797023,31.630849,4.66589,6616.131347,19.947904,25.504446,38,38-2AZ
47,585883.3862,3701704.249,23.99978,24.253898,21.628717,28.61811,4.457645,5808.860839,19.516508,30.86827,38,38-2AZ
48,625438.0643,3691391.259,36.02563,30.427146,28.663885,27.362627,8.294959,6013.183105,20.112167,4.122531,38,38-2AZ
49,680999.378,3669347.399,29.200489,26.570737,21.626266,18.457685,7.028932,5898.227539,19.563081,22.866714,38,38-2AZ
50,612001.1093,3702216.461,33.141483,30.95495,29.546133,29.859653,7.137921,6169.120117,19.835834,3.850051,38,38-2AZ
51,602017.7942,3711015.549,38.328212,36.027828,33.634269,32.382938,8.316273,5879.79541,19.614713,2.417892,38,38-2AZ
52,630268.3762,3679714.982,41.008872,37.226013,38.855613,35.066967,5.803364,5960.935546,19.674814,55.342842,38,38-2AZ
53,670161.133,3674411.002,26.303451,28.502071,22.91323,24.805522,7.024218,4664.183593,16.678434,50.038192,38,38-2AZ
54,436504.8509,3602751.988,6.315744,0.400817,4.317997,0.997747,8.765502,1597.782958,9.288873,1.603067,40,40-2AZ
55,460510.2836,3676113.993,23.408496,18.38442,25.736942,20.959745,10.044967,1686.826171,10.71021,1.288222,40,40-2AZ
56,440422.6427,3673387.532,12.850455,12.15377,10.32016,12.547471,8.387587,1491.344726,9.899687,2.080625,40,40-2AZ
57,472181.3936,3655007.857,15.450419,4.927439,13.822714,11.078114,7.54178,1729.840942,10.858716,1.97683,40,40-2AZ
58,448556.4307,3660470.526,13.067516,9.893335,9.76418,8.495058,5.602745,1519.079589,9.423413,7.701728,40,40-2AZ
59,432935.8981,3574549.21,9.234813,8.194096,6.094511,9.747756,9.399236,1935.381225,10.24164,0.83255,40,40-2AZ
60,426004.571,3650924.299,9.315597,5.934504,8.997107,6.990604,5.27898,1656.056762,8.85157,14.303315,40,40-2AZ
61,472698.0833,3666684.515,20.201639,18.40122,20.621679,22.60404,5.958368,1802.353881,11.401802,8.704552,40,40-2AZ
62,431811.5714,3608066.025,17.419328,15.495191,17.00871,16.08193,4.545423,1849.628051,9.250832,34.370265,40,40-2AZ
63,444548.9533,3709712.105,22.911167,22.221576,20.76815,20.70597,8.614918,1681.914794,12.759728,3.752954,40,40-2AZ
64,461742.8558,3673087.175,0,0.433129,1.446208,5.020226,7.998986,1671.546386,10.642034,1.122445,40,40-2AZ
65,441874.9644,3685431.61,14.044818,2.628142,10.451678,7.735635,8.346358,1400.504028,9.300448,0.676724,40,40-2AZ
66,451694.926,3698591.071,15.959053,14.06182,7.342915,15.916964,7.877624,1821.690185,11.416913,0.939513,40,40-2AZ
67,426015.4723,3598869.331,6.252752,0.286413,4.315359,1.216277,7.637193,1628.478637,9.173837,0.449943,40,40-2AZ
68,428881.0721,3708009.379,13.451133,11.332635,12.978413,14.199211,9.705017,1293.674926,9.873759,0.716582,40,40-2AZ
69,423978.6496,3596339.498,12.623718,10.8479,10.652423,5.065982,8.304205,1650.215942,9.175846,0.509646,40,40-2AZ
70,427235.6384,3646886.02,6.2879,0,4.566908,0.817328,9.957457,1471.054687,8.655979,0.996899,40,40-2AZ
71,425675.7785,3582103.541,11.763291,10.501815,11.763291,11.497532,8.712108,1873.690063,10.047599,1.023828,40,40-2AZ
72,474449.499,3602897.508,10.751765,2.60977,11.843533,6.069942,7.416151,2005.809082,10.076562,1.275911,40,40-2AZ
73,472902.2818,3606708.588,25.129953,14.611387,21.670309,19.043254,7.7592,1971.994506,10.175304,0.899567,40,40-2AZ
74,465306.7197,3608255.856,3.227101,1.534341,9.186882,1.052374,9.449434,1797.375854,9.991211,0.428705,40,40-2AZ
75,475887.4608,3652777.268,21.358381,16.919786,21.421405,21.937137,7.51286,1961.976928,12.17729,2.979287,40,40-2AZ
76,426756.5366,3710896.958,12.775215,8.4581,10.178423,9.061129,7.688336,1391.156372,10.111424,1.164727,40,40-2AZ
