"Rowid_","MASK","X","Y","SLOPE_PERCENT","COVER_FALL09","COVER_FALL11","COVER_SPRING10","COVER_SPRING11","CTI","DEM_AZ_FT","PRECIP_AVG"
,0,646442.202307,4030363.860983,72.956367,14.000000,18.000000,16.000000,24.000000,3.627019,6036.904296,9.015752
,1,579103.055833,3969943.053415,65.666793,33.000000,29.000000,29.000000,25.000000,3.732290,6500.713378,9.655123
,2,638782.556541,3944998.354001,5.689998,39.000000,44.000000,39.000000,42.000000,5.772733,6976.528320,12.416148
,3,534211.031291,3991599.435177,0.715695,20.000000,22.000000,15.000000,16.000000,10.197273,6039.297851,8.822839
,4,455059.014617,4066202.920515,8.294715,5.000000,6.000000,7.000000,2.000000,5.395791,5638.975097,7.791736
,5,556118.733458,4072743.605302,8.555553,19.000000,16.000000,13.000000,14.000000,6.974240,6224.721191,9.321659
,6,576445.775239,4013263.904975,20.926574,35.000000,34.000000,27.000000,31.000000,3.777251,6611.601562,10.253549
,7,490495.779716,4060589.972429,8.435172,5.000000,9.000000,5.000000,7.000000,6.295311,5511.914550,7.794492
,8,618107.080664,3949810.382478,5.612853,21.000000,23.000000,19.000000,18.000000,8.899863,6302.606445,9.678352
,9,521263.742766,4022299.846953,33.183403,27.000000,32.000000,19.000000,23.000000,4.009370,6506.556152,9.731895
,10,516862.119744,4075573.947982,119.619079,33.000000,23.000000,30.000000,26.000000,3.643394,5603.679199,8.475201
,11,497981.068071,4091052.049153,3.844728,16.000000,20.000000,16.000000,17.000000,8.467271,6033.452148,9.416147
,12,542983.141085,4056159.667686,9.368700,34.000000,33.000000,31.000000,30.000000,6.372638,7179.272460,12.199612
,13,545868.375773,3997130.770529,10.753369,19.000000,18.000000,17.000000,18.000000,6.052493,6171.270507,8.835831
,14,589032.922304,4036650.956786,46.567779,24.000000,17.000000,19.000000,18.000000,2.977353,6604.767578,11.090164
,15,505121.990008,4049231.603717,1.381603,31.000000,25.000000,19.000000,21.000000,6.494994,6885.893554,12.004337
,16,512552.283066,4039431.544187,1.233278,21.000000,16.000000,15.000000,17.000000,9.904277,5989.767578,8.531894
,17,577480.348432,4043783.904979,3.360913,13.000000,10.000000,14.000000,10.000000,5.606049,6024.033691,8.516540
,18,642317.092022,3932512.311271,6.795300,36.000000,35.000000,34.000000,31.000000,6.511518,7006.454101,13.338196
,19,580915.160146,3959369.969079,20.880187,14.000000,6.000000,13.000000,13.000000,3.779455,6289.782226,9.116540
,20,639279.342322,3931777.290645,2.072892,31.000000,35.000000,30.000000,31.000000,6.089407,6814.879394,12.909063
,21,529256.360131,4083374.382760,95.039855,33.000000,29.000000,26.000000,29.000000,3.650268,6314.416015,10.064572
,22,474066.921396,4045871.949734,2.757804,16.000000,9.000000,11.000000,29.000000,5.803773,6249.883300,8.325201
,23,602536.307077,4032267.017670,0.369138,17.000000,18.000000,17.000000,16.000000,10.704691,6082.214355,9.101579
,24,516857.943022,4015634.509874,22.547269,25.000000,24.000000,17.000000,19.000000,4.395813,6015.260742,8.508666
,25,575149.645335,3974487.814869,2.633669,23.000000,22.000000,20.000000,20.000000,5.849805,6349.273437,9.115753
,26,553837.179603,4067837.851834,60.253341,24.000000,19.000000,20.000000,17.000000,3.818326,6678.956054,10.898431
,27,535898.065688,3978919.344642,4.159581,21.000000,23.000000,17.000000,18.000000,8.100926,5861.575195,9.114966
,28,479723.710432,4049522.273411,2.991918,11.000000,10.000000,9.000000,10.000000,8.980332,5852.802734,8.018507
,29,554262.012772,4000405.705087,1.556717,22.000000,21.000000,17.000000,18.000000,6.375496,6329.291015,8.648036
,30,467997.389391,4046924.709348,13.556136,15.000000,18.000000,12.000000,18.000000,8.688777,6048.135742,8.006303
,31,541516.513139,4013872.315595,5.874041,25.000000,20.000000,21.000000,18.000000,6.146298,6344.194335,9.606304
,32,538390.375821,4078321.589606,7.940096,42.000000,33.000000,36.000000,32.000000,7.231232,7154.651367,14.199614
,33,453384.951105,4037788.532705,16.046436,22.000000,15.000000,15.000000,13.000000,5.834528,6507.808105,10.434652
,34,570896.363009,4008969.140941,14.905817,26.000000,25.000000,24.000000,23.000000,5.502810,6429.388671,9.179925
,35,615780.432304,3949445.003837,1.792352,28.000000,31.000000,26.000000,24.000000,7.333448,6604.580078,9.852761
,36,516861.747647,4086644.456156,2.977281,24.000000,18.000000,18.000000,18.000000,5.727257,6145.124023,10.526778
,37,554881.236177,3999568.031208,29.216260,23.000000,26.000000,16.000000,20.000000,4.136685,6193.845703,8.648036
,38,540131.111434,4065568.671147,278.704345,27.000000,20.000000,25.000000,22.000000,2.286731,6815.395507,11.674021
,39,529915.815939,3995653.980700,5.162984,18.000000,10.000000,18.000000,12.000000,8.009930,6092.586425,8.771264
,40,550602.318526,4081141.390975,38.200469,31.000000,25.000000,26.000000,22.000000,3.175417,6568.965820,12.061423
,41,525384.532771,4038859.722163,9.127992,17.000000,12.000000,10.000000,7.000000,9.643881,6004.065429,8.490555
,42,516010.797337,4084820.026754,1.433534,20.000000,18.000000,15.000000,17.000000,8.249797,6260.865234,10.627171
,43,637601.855815,3985081.496559,1.453694,17.000000,14.000000,15.000000,15.000000,7.137138,6204.031250,10.018115
